id,title,project,priority,created_date,due_date,deliverable,status,notes
UTC-20260304-01,推进性能优化,UTC,P0,2026-03-04,2026-03-06,分析报告,doing,围绕用户反馈补齐增量覆盖
UTC-20260304-02,完成成功率分析并补足监控优化项,UTC,P1,2026-03-04,,监控优化项清单,todo,补齐成功率分析与监控视角
UTC-20260304-03,闭环资源调用问题处理,UTC,P1,2026-03-04,,回归验证记录,todo,完成基础回归验证
UTC-20260304-04,梳理 Rules 流程上线支持边界,UTC,P1,2026-03-04,,上线支持清单,blocked,待补齐依赖项与阻塞项
UTC-20260304-05,推进离线生成流程准备项,UTC,P1,2026-03-04,2026-03-31,上线准备说明,todo,包含鉴权 保活脚本与 git pull 能力暴露
HYP-20260304-01,输出半年工作安排计划书,HYP,P0,2026-03-04,2026-03-06,半年工作安排计划书,todo,先明确方向和主线优先级
HYP-20260304-02,明确未来半年主线方向和优先级,HYP,P1,2026-03-04,,主线方向列表,todo,统一后续规划口径
HYP-20260304-03,统一项目与人员安排规划口径,HYP,P1,2026-03-04,,统一规划说明,todo,为后续团队安排和项目节奏对齐
TAR-20260304-01,输出个人工作安排计划书,TAR,P0,2026-03-04,2026-03-06,个人工作安排计划书,todo,当前事项统一由我个人负责推进
TAR-20260304-02,梳理团队成员承接方向,TAR,P1,2026-03-04,,团队分工草案,todo,结合半年工作安排细化成员承接方向
HYE-20260304-01,记录老流程评测事项,HYE,P2,2026-03-04,,老流程评测记录,todo,当前先保留事项记录
HYE-20260304-02,整理混元评测结果,HYE,P2,2026-03-04,,混元评测整理文档,todo,后续视副线推进情况补齐
HYE-20260304-03,记录 Sonnet 4.6 评测事项,HYE,P2,2026-03-04,,Sonnet 4.6 评测记录,todo,先记录边界和事项
AGE-20260304-01,输出阶段性计划文档,AGE,P0,2026-03-04,2026-03-06,阶段性计划文档,todo,本周先初步交付
AGE-20260304-02,明确单测流程评测目标范围优先级,AGE,P1,2026-03-04,,范围定义说明,todo,梳理目标 范围与优先级
AGE-20260304-03,梳理多指标评测框架,AGE,P1,2026-03-04,,评测指标草案,todo,用于区分当前流程优劣
AGE-20260304-04,明确与其他项目的边界关系,AGE,P1,2026-03-04,,边界说明,todo,区分单测客户端与混元评测项目
MISC-20260304-01,处理临时会议与跨项目沟通事项,MISC,P2,2026-03-04,,沟通记录,todo,用于记录当天新增的非项目型工作
